_id,Fecha y hora,Departamento,Localidad,Jurisdiccion,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
47,2018-01-27T18:53:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMIONETA,PASAJERO,20,F,1,CAMIONETA,"RUTA 9 KM 135,000",688338.14,6152525
48,2018-01-27T20:50:00,ARTIGAS,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,PASAJERO,51,F,1,CAMIONETA,"RUTA 3 KM 590,000",435951.44,6620165.24
49,2018-01-27T20:50:00,ARTIGAS,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,PASAJERO,16,M,1,CAMIONETA,"RUTA 3 KM 590,000",435951.44,6620165.24
50,2018-01-31T19:20:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,21,M,7,OMNIBUS,CAMINO FRANCISCO LECOCQ ESQ. CAMINO ARIEL,569647.6949,6146587.6844
51,2018-01-02T01:26:00,MONTEVIDEO,MONTEVIDEO,NACIONAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,43,M,0,CAMION,RUTA 5 ESQ. AV. LUIS BATLLE BERRES,568224.32562782,6144271.06326237
52,2018-01-02T13:00:00,LAVALLEJA,MINAS,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,46,M,0,OMNIBUS,"RUTA 12 KM 344,000",662024.27896062,6193615.72648691
53,2018-01-02T15:19:00,MALDONADO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,52,M,0,CAMION,"RUTA 9 KM 133,000",686442.63,6153036.32
54,2018-01-02T21:20:00,CERRO LARGO,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,CAMION,CONDUCTOR,46,M,1,CAMIONETA,"RUTA 18 KM 382,000",818984.95121529,6383568.94806002
55,2018-02-02T16:33:00,MONTEVIDEO,MONTEVIDEO,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,52,M,0,CAMIONETA,RUTA DE ACCESO ESQ. INGENIERO JUAN ALBERTO CAPURRO,571609.2606,6140806.653
56,2018-03-02T04:55:00,CANELONES,VILLA ARGENTINA,NACIONAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,21,M,0,CAMION,"RUTA INTERBALNEARIA KM 44,200",611845.38,6152077.09
57,2018-04-02T05:00:00,TREINTA Y TRES,EJIDO DE TREINTA Y TRES,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,18,M,1,AUTO,RUTA 17 ESQ. GRAL. FLORES,745762.2908,6321879.4455
58,2018-04-02T06:25:00,CANELONES,N/C,NACIONAL,DESPISTE,MOTO,CONDUCTOR,19,M,0,"","RUTA 7 KM 80,000",615184.49,6199997.64
59,2018-04-02T16:20:00,CANELONES,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,PASAJERO,41,F,0,AUTO,"RUTA 6 KM 44,000",586638.57,6174719.12
60,2018-04-02T16:20:00,CANELONES,N/C,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,CONDUCTOR,62,M,2,AUTO,"RUTA 6 KM 44,000",586638.57,6174719.12
61,2018-04-02T19:00:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,41,M,1,AUTO,BOULEVARD GENERAL ARTIGAS ESQ. GOES,576268.2481,6138532.4291
62,2018-05-02T00:30:00,FLORIDA,FLORIDA,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,19,M,1,MOTO,SIMON DEL PINO ESQ. SANTIAGO SIERRA,573363.28965894,6226539.22781087
63,2018-08-02T07:23:00,CANELONES,N/C,NACIONAL,CAÍDA,MOTO,CONDUCTOR,66,M,0,"","RUTA 63 KM 18,000",590118.58723256,6202974.32228743
64,2018-08-02T18:25:00,SORIANO,N/C,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,,M,0,"","RUTA 2 KM 233,000",431730.4,6285850.75
65,2018-09-02T20:34:00,TREINTA Y TRES,EJIDO DE TREINTA Y TRES,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,77,M,0,MOTO,ANDRES CHEVESTE esq. VALENTIN OLIVERA ORTIZ,744186.5205,6321505.6703
66,2018-10-02T03:56:00,SAN JOSE,CIUDAD DEL PLATA,NACIONAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,35,M,0,OMNIBUS,"RUTA 1 KM 33,000",549857.64,6156246.47
67,2018-11-02T04:00:00,COLONIA,N/C,NACIONAL,DESPISTE,AUTO,PASAJERO,36,F,1,"","RUTA 1 KM 170,000",429026.14,6188535.35
68,2018-11-02T07:57:00,PAYSANDU,N/C,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,68,F,0,"","RUTA 26 KM 73,000",454008.87,6460120.4
69,2018-11-02T17:40:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,PASAJERO,21,F,0,AUTO,CAMINO GENERAL LEANDRO GOMEZ esq. TIMBUES,577193.6315,6145306.8616
70,2018-11-02T22:17:00,SALTO,N/C,NACIONAL,DESPISTE,AUTO,PASAJERO,21,M,1,"","RUTA 3 KM 534,000",431270.73,6566374.94
71,2018-02-13T01:00:00,CANELONES,LA PAZ,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,PASAJERO,18,M,2,CAMION,CAMINO ALDABALDE Y CAMINO PISANO,568458.10777684,6154299.87819621
72,2018-02-13T18:30:00,SORIANO,MERCEDES,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,60,M,2,CAMIONETA,FLORENCIO SANCHEZ ESQ. DOCTOR RICARDO BRACERAS,403663.8237,6320288.9161
73,2018-02-14T07:15:00,TACUAREMBO,N/C,NACIONAL,DESPISTE,AUTO,CONDUCTOR,36,M,1,"","RUTA 5 KM 260,500",546450.79,6379562.72
74,2018-02-15T21:05:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,64,F,1,MOTO,ABIPONES ESQ. FLORENCIA,580939.5482,6145143.8942
75,2018-02-18T04:30:00,CANELONES,CIUDAD DE LA COSTA,DEPARTAMENTAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,44,M,0,CAMION,AVENIDA WILSON FERREIRA ALDUNATE ESQ. DOCTOR EDUARDO ACEVEDO,586934.62495652,6142233.79573071
76,2018-02-16T19:25:00,ROCHA,LA PALOMA,DEPARTAMENTAL,DESPISTE,AUTO,CONDUCTOR,35,M,1,"",AVENIDA DEL NAVIO Y LIRA,759832.6542,6160814.9254
77,2018-02-17T07:50:00,SAN JOSE,SAN JOSE DE MAYO,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,46,F,0,CAMION,RUTA 3 Y AV. LARRIERA,526828.2145,6202465.8446
78,2018-02-17T20:26:00,CANELONES,N/C,NACIONAL,DESPISTE,MOTO,CONDUCTOR,52,M,0,"","RUTA 5 KM 25,500",569615.16,6159875.32
79,2018-02-16T10:00:00,MALDONADO,N/C,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,MOTO,CONDUCTOR,36,M,1,MOTO,VENIDA DEL CERRO EGUZQUIZA (200 METROS ANTES DE ENTRADA A HOTEL FASSANO.),693623.73727477,6142887.05328723
80,2018-02-18T12:15:00,MALDONADO,PIRIAPOLIS,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,BICICLETA,CONDUCTOR,68,M,1,CAMIONETA,RAMBLA DE LOS ARGENTINOS (RUTA 10) ESQ. EDUARDO MORDELLO,655872.11802153,6141747.22600757
81,2018-02-20T18:55:00,RIVERA,N/C,NACIONAL,DESPISTE,AUTO,PASAJERO,70,F,0,"","RUTA 5 KM. 441,000",628422.3,6525387.79
82,2018-02-20T18:55:00,RIVERA,N/C,NACIONAL,DESPISTE,AUTO,PASAJERO,75,F,0,"","RUTA 5 KM. 441,000",628422.3,6525387.79
83,2018-02-20T19:35:00,CERRO LARGO,ISIDORO NOBLA,NACIONAL,DESPISTE,AUTO,CONDUCTOR,39,M,0,"","RUTA 8 KM 447,000",770906.06,6461154.09
84,2018-02-20T15:00:00,COLONIA,N/C,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,CONDUCTOR,53,M,1,CAMION,RUTA 97 ESQ. Brasil,379868.86652357,6241512.01858127
85,2018-02-23T14:45:00,SAN JOSE,SAN JOSE DE MAYO,NACIONAL,COLISIÓN ENTRE VEHÍCULOS,AUTO,CONDUCTOR,64,M,0,CAMION,"RUTA 3 KM 88,000",525249.91,6196810.81
86,2018-02-24T06:00:00,COLONIA,N/C,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,73,M,1,"","RUTA 12 KM 81,000",440628.38,6244052.44
87,2018-02-24T05:00:00,ARTIGAS,N/C,NACIONAL,DESPISTE,AUTO,CONDUCTOR,37,M,0,"","RUTA 30 KM 108,000",530482.33,6634105.51
88,2018-02-24T15:40:00,ARTIGAS,ARTIGAS,DEPARTAMENTAL,COLISIÓN ENTRE VEHÍCULOS,BICICLETA,CONDUCTOR,16,M,1,AUTO,PUENTE INTERNACIONAL DE LA CONCORDIA,552170.15751092,6637542.19468085
89,2018-02-25T02:50:00,SAN JOSE,SAN JOSE DE MAYO,DEPARTAMENTAL,CAÍDA,MOTO,CONDUCTOR,59,F,1,"",ATILIO PELOSSI ESQ. DIECIOCHO DE JULIO,525607.1457,6200046.3109
90,2018-02-25T05:28:00,FLORES,TRINIDAD,NACIONAL,ATROPELLO DE PEATÓN,PEATÓN,PEATÓN,24,M,0,CAMIONETA,"RUTA 3 KM 192,000",507445.96,6292059.01
91,2018-02-25T09:55:00,MALDONADO,PAN DE AZUCAR,DEPARTAMENTAL,DESPISTE,CUATRICICLO,CONDUCTOR,62,M,0,"",ALVARO FIGUEREDO ESQ. INDIO MIGUEL,662927.93869106,6150543.98944698
